german	russian
weitsichtig	дальновидный, прозорливый
der Weltkrieg, -e	мировая война
wesentlich	значительно, существенно, важно
die Wirtschaftskrise, -n	экономический кризис
zusprechen, spricht zu, sprach zu, hat zugesprochen	передавать, присуждать
der Zuspruch (Sg.) (Die neue Eisdiele findet großen Zuspruch.)	популярность, успех (Новое кафемороженое пользуется большим успехом.)
vermutlich	предположительно, вероятно
durchschnittlich	в среднем
die Freizeitbeschäftigung, -en	занятие на досуге
wie viel	сколько
dran sein	Ди Ы$Е агап - настал твой черёд, твоя очередь
erraten, errät, erriet, hat erraten	отгадывать
die Freizeitaktivität, -en	деятельность на досуге
geben, gibt, gab, hat gegeben (Ich gebe dir eine Karte.)	давать (Я дам тебе одну карту.)
das Kärtchen, -	карточка
raten, rät, riet, hat geraten (Rate mal, wie alt ich bin.)	угадывать (Угадай-ка, сколько мне лет?)
vorspielen	играть
ziehen, zieht, zog, hat gezogen (eine Karte ziehen)	тянуть (тянуть карту)
komisch	комично, смешно
das Paar, -e (Die beiden sind ein hübsches Paar und werden bald heiraten.)	пара (Они красивая пара, и скоро поженятся.)
fernsehen, sieht fern, sah fern, hat ferngesehen	смотреть телевизор
der Fernseher, -	телевизор
genauso	так же
seitdem	с тех пор
das Tier, -e	животное
unternehmen, unternimmt, unternahm, hat unternommen	предпринять
zusammen	вместе
die Freizeitgestaltung, -en	организация досуга
entfallen, entfällt, entfiel, ist entfallen (Wegen Krankheit entfällt der Unterricht heute.)	выпадать, не состояться (В связи с болезнью урока сегодня не будет.)
der Vergleich, -e	сравнение
vor (+ D./A.) (vor der/die Tür)	перед (перед дверью)
wegfallen, fällt weg, fiel weg, ist weggefallen	отпадать
aller- (Das war der allerschönste Abend seit zwei Jahren.)	из всех (Это был самый красивый из всех вечеров за последние два года.)
anschließend	затем
betonen	выделять, подчёркивать
davorsetzen	вставить перед
drittgrößte	третий по величине
werten	ценить, оценивать
zweitschönste	второй по красоте
der Kursort, -e	место проведения курсов
liegen, liegt, lag, hat gelegen (Hamburg liegt im Norden von Deutschland.)	лежать, находиться (Гамбург находится на севере Германии.)
recherchieren (nach + D.)	осуществлять поиск
das Schwimmbad, "-er	бассейн
der Stadtpark, -s	городской парк
täglich	ежедневно
von ... bis	с... до
das Spiel, -e	игра
angeboren	врождённый
das Computerspiel, -e	компьютерная игра
die Kritik (Sg.)	критика
kulturell	культурный
das Onlinespiel, -e	игра онлайн
populär	популярный
der Spielemarkt, "-e	игровой рынок
der Spieltrieb (Sg.)	тяга к игре, инстинкт играть
ausbilden (eine Fähigkeit bildet sich aus)	развиваться (развивается способность)
der Ball, "-e	мяч
befragen	спрашивать, опрашивать
begeistert	восторженный, воодушевлённый
bestätigen	подтвердить
erfahren, erfährt, erfuhr, hat erfahren	узнавать, изведывать
erholen (sich) (von + D.)	отдыхать
die Fähigkeit, -en	способность
geistig	духовный, умственный
die Geselligkeit (Sg.)	общение с людьми
hinterherlaufen, läuft hinterher, lief hinterher, ist hinterhergelaufen	бежать вслед
die Hypothese, -n	гипотеза
körperlich	телесный
legen (ein Puzzle legen)	собирать (собирать пазл)
die Lust (Sg.) (Lust haben zw/auf etw.)	желание (хотеть ч.-л.)
messen (mit + D.), misst, maß, hat gemessen	измерять
miteinander	друг с другом
die Motorik (Sg.)	моторика
das Puzzle, -s	пазл
schulen (auf der Fortbildung wurden wir zum Thema Konfliktlösung geschult.)	обучать, тренировать (На повышении квалификации нас учили, как избегать конфликтов.)
Skat	скат
das Sozialverhalten (Sg.)	социальное поведение
der/die Soziologe/Soziologin, -n/-nen	социолог
der/die Spieler/in, -/-nen	игрок
stundenlang	часами
vertreiben, vertreibt, vertrieb, hat vertrieben (sich die Zeit vertreiben)	прогонять (коротать время)
die Wahrnehmung, -en	восприятие
die Weise, -n	способ, манера
der Wettbewerbscharakter (Sg.)	характер состязания
das Abenteuerspiel, -e	приключенческая игра
aufpassen (Pass auf, dass du nicht hinfällst.)	быть внимательным (Смотри не упади!)
das Bewegungsspiel, -e	подвижная игра
das Brettspiel, -e	настольная игра
die Epoche, -n	эпоха
das Fantasyspiel, -e	фэнтези игра
generell	вообще
das Gesellschaftsspiel, -e	коллективная игра
das Gewaltspiel, -e	игры с насилием
die Grenze, -n	граница
das Kinderspiel, -e	детская игра
kritisch	критический
laufend	непрерывно
mittlerweile	между тем, тем временем
das Mögliche (Sg.) (alles Mögliche)	возможное (всё возможное)
national	национальный
pauschal	в целом, в общем
die Religion, -en	религия
das Schach (Sg.)	шахматы
sicher (Was du sagst, ist sicher richtig, aber ..)	наверняка, конечно (То, что ты говоришь, конечно, верно, но...)
sicherlich	верно, наверно
der Spieleklassiker, -	классическая игра
die Spielkultur, -en	культура игры
das Strategiespiel, -e	стратегическая игра
überschreiten, überschreitet, überschritt, hat überschritten (Er hat die Grenze des guten Geschmacks überschritten.)	переступить, перейти (Он переступил границы хорошего вкуса.)
